SAMPLE CODE,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT,Acanthurus tractus (bahianus),Acanthurus chirurgus,Acanthurus coeruleus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx bartholomaei,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Sphyraena picudilla,Trachinotus falcatus
2004Black JackASEC Survey,2004,Vieques/Culebra,Isla Vieques,Black Jack,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5607.08,0,439.34,0,0,0,0,0,0,0,0,0,0,4759.17,0,0,16401.21,842.41,0,0,0,0,0,0,0,2375.78,0,0,1597.18,0,,0,,,2700,0,,,,,,5608.52,,0
2004Canjilones (Vieques)ASEC Survey,2004,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,ASEC Survey,,,,36400,0,0,880.46,0,,0,0,0,0,0,0,109700,0,0,0,0,0,0,0,1178.1,1111.42,0,0,0,0,699.84,1113.19,0,0,49000,0,2204.12,0,0,0,1958.78,0,0,0,261.7,0,0,0,0,0,0,1174.02,0,,5017,,,756.94,0,,,,,,0,,0
2004Las Coronas (Vieques)ASEC Survey,2004,Vieques/Culebra,Isla Vieques,Las Coronas (Vieques),Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,69.84,0,0,0,0,0,0,0,0,0,0,439.34,0,11200,0,5097.8,0,0,0,0,0,0,4445.67,0,0,3968.51,1063.85,0,0,0,0,1937.76,0,0,442.05,0,0,3439.38,0,,0,,,1700,0,,,,,,3943.27,,0
2004Monte PirataASEC Survey,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,ASEC Survey,,,,8500,0,2490.86,0,0,,0,0,0,8037.62,69.84,0,0,0,0,0,0,0,0,0,1756.25,1410.84,0,0,0,0,866.25,1366.48,0,0,0,0,2960.38,0,0,0,760.19,0,0,0,381.38,0,0,0,0,0,0,445.04,0,,5017,,,2200,0,,,,,,0,,0
2004MosquitoASEC Survey,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,ASEC Survey,,,,0,0,0,142.88,0,,0,0,0,0,104.76,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,0,0,0,0,0,0,248.07,0,0,901.21,0,0,0,0,0,5765.44,0,0,0,0,0,13057.35,0,,0,,,0,0,,,,,,0,,0
2004Puerto Botes 15mASEC Survey,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey,,,,0,0,1300,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.74,0,0,0,0,0,0,57.12,15.27,0,0,0,0,0,0,186.12,0,0,0,0,0,0,0,0,0,0,797.01,0,,0,,,4000,0,,,,,,1665.25,,0
2004Puerto Botes 20mASEC Survey,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey,,,,0,0,550.06,0,0,,749.3,0,0,403.56,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,0,0,298.78,110.63,0,0,0,0,0,0,797.93,0,0,0,1173.53,0,0,0,0,0,0,1514.25,0,,0,,,2082.22,0,,,,,,1665.25,,0
2004Puerto Canoas 30mASEC Survey,2004,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey,,,,0,0,0,0,0,,2283.72,31682.25,0,2372.4,0,4659.97,0,0,0,0,0,0,0,1818.09,0,878.68,0,19300,0,0,0,0,528.56,321.55,49000,0,0,579.31,0,0,1037.87,0,0,1038.97,893.61,0,0,0,0,11300,0,797.01,0,,0,,,12900,0,,,,,,13154.72,,0
2004Tourmaline 10mASEC Survey,2004,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey,,,,0,0,2175.55,0,0,,925.11,0,0,0,0,0,0,0,0,134.12,0,29.12,0,0,0,746.94,0,189.74,0,0,0,0,0,231.03,0,0,0,0,0,0,1463.38,0,0,0,0,486.58,0,0,0,0,0,700.16,0,,0,,,1700,0,,,,,,960.1,,0
2004Tourmaline 20mASEC Survey,2004,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey,,,,0,0,550.06,0,0,,1847.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979.68,0,0,0,0,0,0,0,231.03,0,0,0,0,0,0,1308.1,0,0,0,0,2289.69,0,0,0,0,0,1307.25,0,,0,,,1700,0,,,,,,0,,0
2004Tourmaline 30mASEC Survey,2004,West,Cabo Rojo,Tourmaline 30m,Mesophotic,ASEC Survey,,,,515.97,0,1300,0,13052.22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.44,0,0,0,0,0,0,298.78,94.51,0,0,3869.27,0,0,1495.61,106.14,0,0,0,0,338.91,0,0,0,0,0,477.64,0,,0,,,4400,0,,,,,,13154.72,,0
2004Tres Palmas 10mASEC Survey,2004,West,Rincon,Tres Palmas 10m,Shallow,ASEC Survey,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,0,0,0,0,0,528.56,983.58,0,0,0,0,0,0,221.44,0,0,0,893.61,998.12,0,0,0,0,0,0,0,,0,,,9000,0,,,,,,0,,0
2004Tres Palmas 20mASEC Survey,2004,West,Rincon,Tres Palmas 20m,Intermediate,ASEC Survey,,,,0,0,0,0,0,,793.23,0,0,0,0,0,0,0,0,0,120.88,0,0,0,0,439.34,0,0,0,0,0,0,528.56,983.58,0,0,0,0,0,0,221.44,0,0,0,893.61,754.83,0,0,0,0,0,0,0,,0,,,9000,0,,,,,,2645.49,,0
2004Tres Palmas 5mASEC Survey,2004,West,Rincon,Tres Palmas 5m,Very Shallow,ASEC Survey,,,,0,0,0,0,0,,609.31,0,42.62,10.4,0,0,0,0,92.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.38,106.14,0,0,0,0,0,0,0,0,0,0,0,0,,426.39,,,3721.48,0,,,,,,0,,0
2004North Caballo BlancoASEC Survey,2004,Vieques/Culebra,Isla Vieques,North Caballo Blanco,Very Shallow,ASEC Survey,,,,0,0,0,6564.27,0,,1027.89,0,0,403.56,4075.91,0,0,0,0,0,0,0,0,0,0,465.48,0,0,6229.2,2986.03,0,0,0,0,0,0,0,0,0,366.09,5458.06,0,0,0,0,0,0,0,0,0,0,18812.87,0,,0,,,2700,0,,,,,,3252.18,,0
