SAMPLE CODE,REGION,LOCATION,Acanthurus tractus (bahianus),Acanthurus chirurgus,Acanthurus coeruleus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx bartholomaei,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Sphyraena picudilla,Trachinotus falcatus
2021Cabezas de San Juan1,EAST,Fajardo,112.26,0,156.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645.49,0,0
2021Cabezas de San Juan2,EAST,Fajardo,432.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,0,0,0,0,0,0,0
2021Cabezas de San Juan3,EAST,Fajardo,268.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0
2021Cabezas de San Juan4,EAST,Fajardo,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Cabezas de San Juan5,EAST,Fajardo,470.42,99.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.86,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0
2021Canal Luis Peña1,EAST,Isla Culebra,88,76.74,65.07,0,0,0,0,0,0,0,0,0,0,257.92,0,0,32.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,391.02,0,0,228.58,0,0,1253.01,60.48,0,0,0
2021Canal Luis Peña2,EAST,Isla Culebra,112.26,99.56,336.78,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,382.69,0,0,45.95,0,0,0,616.4,0,0,0
2021Canal Luis Peña3,EAST,Isla Culebra,166.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,307,0,0,8.55,0,0,0,734.45,0,0,0
2021Canal Luis Peña4,EAST,Isla Culebra,0,0,224.52,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,746.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,113.45,0,0,417.67,122.43,0,0,0
2021Canal Luis Peña5,EAST,Isla Culebra,298.64,38.37,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,277.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.83,0,0,37.77,0,0,0,1181.88,0,0,0
